8938|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
8778|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
8505|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
7785|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
3389|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
3302|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
3134|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
H755|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
H615|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
4519|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
7503|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
2856|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
2648|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
2602|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
H450|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
4294|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
H025|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
7173|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6920|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |2|5050565|TND_MIM
7364|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
7365|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
7248|DOUBLE CHEESEBURGER      |1.59|4|DOUBLE CHEESEBURGER      |1|5050565|TND_MIM
6027|QTR POUNDER HAMB         |3.49|6|QTR POUNDER HAMB         |1|5050545|TND_MIM
5956|QTR POUNDER HAMB         |3.49|6|QTR POUNDER HAMB         |1|5050545|TND_MIM
9532|QTR POUNDER HAMB         |3.49|6|QTR POUNDER HAMB         |1|5050545|TND_MIM
7444|QTR POUNDER HAMB         |3.49|6|QTR POUNDER HAMB         |2|5050545|TND_MIM
7445|QTR POUNDER HAMB         |3.49|6|QTR POUNDER HAMB         |2|5050545|TND_MIM
7422|QTR POUNDER HAMB         |3.49|6|QTR POUNDER HAMB         |1|5050545|TND_MIM
6716|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
6660|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |3|5050545|TND_MIM
3941|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6394|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |4|5050545|TND_MIM
6324|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
1993|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
2063|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6323|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6321|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6313|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
6311|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
6298|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
1978|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
1972|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
1968|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
0654|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6342|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
6285|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
5873|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
3538|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
1730|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
1596|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
4621|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
4320|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
1033|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |3|5050545|TND_MIM
9924|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
9923|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
9922|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
9921|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6272|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
8994|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
8993|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
8941|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
4081|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
3572|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
0263|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
0296|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |4|5050545|TND_MIM
5446|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
8504|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
8501|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7909|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7576|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
7579|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
6576|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
4562|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7453|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
7349|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
2647|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
2606|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7342|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7345|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7179|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
6924|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
7441|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
1992|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
2468|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |1|5050545|TND_MIM
2445|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
2456|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
2332|QTR POUNDER CHEESE       |3.99|7|QTR POUNDER CHEESE       |2|5050545|TND_MIM
6655|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
6364|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
6343|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
0690|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
0691|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
0692|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
0693|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
1872|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
1839|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
6069|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
6068|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
6067|MCRIB                    |3.19|10|MCRIB                    |2|5053535|TND_MIM
0551|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
5981|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
5413|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
3562|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
4380|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
4257|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
9967|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
9532|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
9531|MCRIB                    |3.19|10|MCRIB                    |1|5053535|TND_MIM
