0589|2 BISCUIT & GRAVY|162|SAUSAGE GRAVY BISC|2
0593|MCDOUBLE MEAL|21|21 OZ GENERIC DRK|1
0593|MCDOUBLE MEAL|592|MCDOUBLE|1
0593|MCDOUBLE MEAL|8932|M FRENCH FRIES|1
0594|MCDOUBLE ML-LRG|125|30 OZ GENERIC DRK|1
0594|MCDOUBLE ML-LRG|592|MCDOUBLE|1
0594|MCDOUBLE ML-LRG|6053|L FRENCH FRIES|1
0595|2 STHRN STL CKN MEAL|21|21 OZ GENERIC DRK|1
0595|2 STHRN STL CKN MEAL|2348|SOUTHERN STYLE CHKN|2
0595|2 STHRN STL CKN MEAL|8932|M FRENCH FRIES|1
0596|2 STHN STL CK ML-LRG|125|30 OZ GENERIC DRK|1
0596|2 STHN STL CK ML-LRG|2348|SOUTHERN STYLE CHKN|2
0596|2 STHN STL CK ML-LRG|6053|L FRENCH FRIES|1
0603|TUSCAN & SOUTHWEST|597|TUSCAN TOMATO BASIL|1
0603|TUSCAN & SOUTHWEST|598|SOUTHWEST|1
0604|TUSCAN & BBQ RANCH|597|TUSCAN TOMATO BASIL|1
0604|TUSCAN & BBQ RANCH|599|BBQ BACON RANCH|1
0605|TUSCAN & SMTH CHKN|597|TUSCAN TOMATO BASIL|1
0605|TUSCAN & SMTH CHKN|601|4 CHEESE|1
0606|TUSCAN & TUSCAN|597|TUSCAN TOMATO BASIL|2
0608|BCN CLBHS SSM-CPY ML|21|21 OZ GENERIC DRK|1
0608|BCN CLBHS SSM-CPY ML|571|BCN CLBHS SSM-CPY|1
0608|BCN CLBHS SSM-CPY ML|8932|M FRENCH FRIES|1
0609|BNCLBHS SSM-CP ML-LG|125|30 OZ GENERIC DRK|1
0609|BNCLBHS SSM-CP ML-LG|571|BCN CLBHS SSM-CPY|1
0609|BNCLBHS SSM-CP ML-LG|6053|L FRENCH FRIES|1
0612|SOUTHWEST& BBQ RANCH|598|SOUTHWEST|1
0612|SOUTHWEST& BBQ RANCH|599|BBQ BACON RANCH|1
0613|BCN CLBHS ART-CPY ML|21|21 OZ GENERIC DRK|1
0613|BCN CLBHS ART-CPY ML|610|BCN CLBHS ART-CPY|1
0613|BCN CLBHS ART-CPY ML|8932|M FRENCH FRIES|1
0614|BNCLBHS ART-CP ML-LG|125|30 OZ GENERIC DRK|1
0614|BNCLBHS ART-CP ML-LG|610|BCN CLBHS ART-CPY|1
0614|BNCLBHS ART-CP ML-LG|6053|L FRENCH FRIES|1
0623|HOTDG/SF/HM|19|12 OZ SOFT DRK|1
0623|HOTDG/SF/HM|800|TOY-GENERIC HM|1
0623|HOTDG/SF/HM|5633|HOTDG|1
0623|HOTDG/SF/HM|6050|S FRENCH FRIES|1
0624|SOUTHWEST & SMTH CKN|598|SOUTHWEST|1
0624|SOUTHWEST & SMTH CKN|601|4 CHEESE|1
0625|SOUTHWEST& SOUTHWEST|598|SOUTHWEST|2
0626|BBQBCN RNCH& SMTH CK|599|BBQ BACON RANCH|1
0626|BBQBCN RNCH& SMTH CK|601|4 CHEESE|1
0627|SMTH CKN & SMTH CKN|601|4 CHEESE|2
0634|BCN CLBHS BKR-CPY ML|21|21 OZ GENERIC DRK|1
0634|BCN CLBHS BKR-CPY ML|633|BCN CLBHS BKR-CPY|1
0634|BCN CLBHS BKR-CPY ML|8932|M FRENCH FRIES|1
0635|BNCLBHS BKR-CP ML-LG|125|30 OZ GENERIC DRK|1
0635|BNCLBHS BKR-CP ML-LG|633|BCN CLBHS BKR-CPY|1
0635|BNCLBHS BKR-CP ML-LG|6053|L FRENCH FRIES|1
0636|CARROT MUFF(6)|556|CARROT MUFF|6
0637|BLUEB MUFF(6)|188|BLUEBERRY MUFFIN|6
0639|APL BRAN MUFF(6)|462|APL BRAN MUFF|6
0645|BBQB RNCH& BBQB RNCH|599|BBQ BACON RANCH|2
0654|QTR CHEESE ML-AP|7|QTR POUNDER CHEESE|1
0654|QTR CHEESE ML-AP|21|21 OZ GENERIC DRK|1
0654|QTR CHEESE ML-AP|2794|APPLE SLICES|2
0660|MCDOUBLE ML-SLD|21|21 OZ GENERIC DRK|1
0660|MCDOUBLE ML-SLD|592|MCDOUBLE|1
0660|MCDOUBLE ML-SLD|8759|SIDE SALAD|1
0661|MCDOUBLE ML-PRF|21|21 OZ GENERIC DRK|1
0661|MCDOUBLE ML-PRF|592|MCDOUBLE|1
0661|MCDOUBLE ML-PRF|4148|FRUIT N YGRT PARFAIT|1
0662|MCDOUBLE ML-AD|21|21 OZ GENERIC DRK|1
0662|MCDOUBLE ML-AD|592|MCDOUBLE|1
0662|MCDOUBLE ML-AD|7400|APPLE DIPPERS|1
0666|JALA CHDR MC ML-SML|20|16 OZ GENERIC DRK|1
0666|JALA CHDR MC ML-SML|1862|JALAPENO CHEDDAR MCC|1
0666|JALA CHDR MC ML-SML|6050|S FRENCH FRIES|1
0667|JALA CHDR MC MEAL|21|21 OZ GENERIC DRK|1
0667|JALA CHDR MC MEAL|1862|JALAPENO CHEDDAR MCC|1
0667|JALA CHDR MC MEAL|8932|M FRENCH FRIES|1
0668|JALA CHDR MC ML-LRG|125|30 OZ GENERIC DRK|1
0668|JALA CHDR MC ML-LRG|1862|JALAPENO CHEDDAR MCC|1
0668|JALA CHDR MC ML-LRG|6053|L FRENCH FRIES|1
0669|STH STYLE CKN-AP|21|21 OZ GENERIC DRK|1
0669|STH STYLE CKN-AP|2348|SOUTHERN STYLE CHKN|1
0669|STH STYLE CKN-AP|2794|APPLE SLICES|2
0670|CHED ONION MC ML-SML|20|16 OZ GENERIC DRK|1
0670|CHED ONION MC ML-SML|1865|CHEDDAR ONION MCC|1
0670|CHED ONION MC ML-SML|6050|S FRENCH FRIES|1
0672|CHED ONION MC MEAL|21|21 OZ GENERIC DRK|1
0672|CHED ONION MC MEAL|1865|CHEDDAR ONION MCC|1
0672|CHED ONION MC MEAL|8932|M FRENCH FRIES|1
0673|CHED ONION MC ML-LRG|125|30 OZ GENERIC DRK|1
0673|CHED ONION MC ML-LRG|1865|CHEDDAR ONION MCC|1
0673|CHED ONION MC ML-LRG|6053|L FRENCH FRIES|1
0674|2 CHEESBRGR & 2 SFRY|3|CHEESEBURGER|2
0674|2 CHEESBRGR & 2 SFRY|6050|S FRENCH FRIES|2
0679|SAUS MCMUFFIN HBROWN|35|HASH BROWN|1
