PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
573|M HOT TEA|M Htea|1573|M Hot Tea|M Htea
574|M ORANGE JUICE|M Oj|1574|M Orange Juice|M Oj
574|M ORANGE JUICE|M Oj|2899|SML ORANGE JUICE 16|S Oj
583|APPLE PIE ALA MODE|Ap Ala|8656|Apple Pie Ala Mode|Ap Ala
583|APPLE PIE ALA MODE|Ap Ala|8681|Apple Pie Ala Mode|Ap Ala
587|MAC SNACK WRAP|Wp Mac|1037|Mac Snack Wrap|Wp Mac
592|MCDOUBLE|Mcdbl|1446|McDouble|Mcdbl
593|MCDOUBLE MEAL|M Mcdb|1447|McDouble Meal|M Mcdb
594|MCDOUBLE ML-LRG|L Mcdb|1448|McDouble Ml-Lrg|L Mcdb
619|C HI-C ORANGE|C Hi-C|1619|C Hi-C Orange|C Hi-C
620|S HI-C ORANGE|S Hi-C|1620|S Hi-C Orange|S Hi-C
621|M HI-C ORANGE|M Hi-C|1621|M Hi-C Orange|M Hi-C
622|L HI-C ORANGE|L Hi-C|1622|L Hi-C Orange|L Hi-C
628|GUACAMOLE|GUAC|7333|GUACAMOLE|GUAC
630|S CHERRY COKE|S Chyc|1630|S Cherry Coke|S Chyc
631|M CHERRY COKE|M Chyc|640|M Cherry Coke|M Chyc
632|L CHERRY COKE|L Chyc|641|L Cherry Coke|L Chyc
638|L POPCORN|L Pcrn|8506|L Popcorn|L Pcrn
642|CREAMY GARLIC SAUCE|Garlic|7338|Creamy Garlic Sauce|Garlic
647|BIG BREAKFAST/BCN HC|Bbhcbc|648|Big Breakfast/Bcn HC|Bbhcbc
650|C DIET COKE|C Diet|1650|C Diet Coke|C Diet
651|S DIET COKE|S Diet|1651|S Diet Coke|S Diet
652|M DIET COKE|M Diet|1652|M Diet Coke|M Diet
653|L DIET COKE|L Diet|1653|L Diet Coke|L Diet
680|5 MIGHTY WINGS|5mw|5539|5 Mighty Wings|5mw
681|10 MIGHTY WINGS|10mw|5542|10 Mighty Wings|10mw
706|APPLE PIE|Ap Pie|1706|Apple Pie|Ap Pie
706|APPLE PIE|Ap Pie|6984|Apple Pie|Ap Pie
714|4NUG/FRY HPY ML TOY|4NG FR|1714|4NUG/FRY HPY ML TOY|4NG FR
714|4NUG/FRY HPY ML TOY|4NG FR|7761|4NUG/FRY HPY ML TOY*|4NGFR*
719|C SPRITE|C Sprt|1719|C Sprite|C Sprt
720|S SPRITE|S Sprt|1720|S Sprite|S Sprt
721|M SPRITE|M Sprt|1721|M Sprite|M Sprt
722|L SPRITE|L Sprt|1722|L Sprite|L Sprt
726|2 BIG MAC|2b Mac|8586|2 Big Mac|2b Mac
777|S ROOT BEER FLOAT|S Rbfl|8560|S Root Beer Float|S Rbfl
778|M ROOT BEER FLOAT|M Rbfl|6846|M Root Beer Float|M Rbfl
780|TRIPLE CHEESEBURGER|Trpl|1780|Triple Cheeseburger|Trpl
812|SUNDAY NEWSPAPER|Sunnew|803|DAILY NEWSPAPER|Dlynew
812|SUNDAY NEWSPAPER|Sunnew|8021|DAILY TRIBUNE|Dlytrb
842|TICKETS|TICKET|8043|CHILDRENS TICKETS|CHLDTK
846|HPY MEAL AUTO DEDUCT|No Use|8481|HAPPY TOY ONLY|Toy3ky
910|MUSTARD|Mustrd|9191|Mustard|Mustrd
912|KETCHUP|Ketchp|9192|Ketchup|Ketchp
913|GRILLED ONIONS|Gril O|9195|Grilled Onions|Gril O
915|LEAF LETTUCE|Leaf|9194|Leaf Lettuce|Leaf
918|MAYONNAISE|Mayo|9190|Mayonnaise|Mayo
924|PICO DE GALLO|Pico|9014|Pico de Gallo|Pico
924|PICO DE GALLO|Pico|9950|Pico de Gallo|Pico
978|C WATER|C Watr|960|WATER|Water
1016|BIG BRKFST/W MF HTCK|Bbmfhc|1250|Big Brkfst/w Mf HtCk|Bbmfhc
1016|BIG BRKFST/W MF HTCK|Bbmfhc|1477|Big Brkfst/w Mf HtCk|Bbmfhc
1022|STEAK BURRITO|Stkbur|4567|Steak Burrito|Stkbur
1028|S STRAWBERRY LMNDE|S Stlm|3328|S Strawberry Lmnde|S Stlm
1029|M STRAWBERRY LMNDE|M Stlm|3334|M Strawberry Lmnde|M Stlm
1030|L STRAWBERRY LMNDE|L Stlm|3335|L Strawberry Lmnde|L Stlm
1043|BACON MCDOUBLE|Bcnmcd|5799|Bacon McDouble|Bcnmcd
