PRI_MENU_ITM_NU|PRI_MENU_ITM_NA|MENU_ITM_POS_NA|SEC_MENU_ITM_NU|SEC_MENU_ITM_NA|MENU_ITM_POS_NA
5361|S HAZELNUT COFFEE|S HCof|5718|S Hazelnut Coffee|S HCof
5362|S CARAMEL DECAF COF|S CDcf|5749|S Caramel Decaf Cof|S CDcf
5363|M HAZELNUT COFFEE|M HCof|5719|M Hazelnut Coffee|M HCof
5364|L HAZELNUT COFFEE|L HCof|5723|L Hazelnut Coffee|L HCof
5365|M CARAMEL DECAF COF|M CDcf|5750|M Caramel Decaf Cof|M CDcf
5366|L CARAMEL DECAF COF|L CDcf|5752|L Caramel Decaf Cof|L CDcf
5367|S HAZELNUT DECAF COF|S HDcf|5727|S Hazelnut Decaf Cof|S HDcf
5368|S SF CARAMEL COFFEE|SSCCof|5753|S SF Caramel Coffee|SSCCof
5369|M HAZELNUT DECAF COF|M HDcf|5731|M Hazelnut Decaf Cof|M HDcf
5370|M SF CARAMEL COFFEE|MSCCof|5754|M SF Caramel Coffee|MSCCof
5373|L SF CARAMEL COFFEE|LSCCof|5755|L SF Caramel Coffee|LSCCof
5374|S SF CRML DECAF COF|SSCDcf|5758|S SF Crml Decaf Cof|SSCDcf
5375|M SF CRML DECAF COF|MSCDcf|5759|M SF Crml Decaf Cof|MSCDcf
5376|L SF CRML DECAF COF|LSCDcf|5760|L SF Crml Decaf Cof|LSCDcf
5377|S IC SF CRML COFFEE|S ISCL|5763|S IC SF Crml Coffee|S ISCL
5378|M IC SF CRML COFFEE|M ISCL|5765|M IC SF Crml Coffee|M ISCL
5379|L IC SF CRML COFFEE|L ISCL|5766|L IC SF Crml Coffee|L ISCL
5380|CARAMEL SHOT|Cml Sh|5773|Caramel Shot|Cml Sh
5381|S SF HAZLNT COFFEE|SSHCof|5733|S SF Hazlnt Coffee|SSHCof
5382|M SF HAZLNT COFFEE|MSHCof|5734|M SF Hazlnt Coffee|MSHCof
5383|L SF HAZLNT COFFEE|LSHCof|5736|L SF Hazlnt Coffee|LSHCof
5384|S SF HZLN DECAF COF|SSHDcf|5742|S SF Hzln Decaf Cof|SSHDcf
5399|C ORANGE JUICE CC|C Oj|5400|C Orange Juice Cc|C Oj
5412|M SF HZLN DECAF COF|MSHDcf|5743|M SF Hzln Decaf Cof|MSHDcf
5420|L SF HZLN DECAF COF|LSHDcf|5744|L SF Hzln Decaf Cof|LSHDcf
5421|S IC SF HZLN COFFEE|S ISHT|5770|S IC SF Hzln Coffee|S ISHT
5423|M IC SF HZLN COFFEE|M ISHT|5771|M IC SF Hzln Coffee|M ISHT
5424|L IC SF HZLN COFFEE|L ISHT|5772|L IC SF Hzln Coffee|L ISHT
5425|L HAZELNUT DECAF COF|L HDcf|5732|L Hazelnut Decaf Cof|L HDcf
5427|HAZELNUT SHOT|Hzl Sh|5774|Hazelnut Shot|Hzl Sh
5428|BAGEL|Bagel|6428|Bagel|Bagel
5431|S CHOC STRAW FRAPPE|S CCSF|6236|S Choc Straw Frappe|S CCSF
5436|M CHOC STRAW FRAPPE|M CCSF|6238|M Choc Straw Frappe|M CCSF
5437|L CHOC STRAW FRAPPE|L CCSF|6241|L Choc Straw Frappe|L CCSF
5446|NFL BUNDLE|NFL|5455|NFL Bundle|NFL
5474|BOTTLED WATER|B Wtr|6474|Bottled Water|B Wtr
5474|BOTTLED WATER|B Wtr|6506|Bottled Water|B Wtr
5486|2 APPLE PIES|2-Apie|6486|2 Apple Pies|2-Apie
5490|JALPNO&WHT CHED MCMF|SECMJJ|5791|Jalpno&Wht Ched McMf|SECMJJ
5491|JALPNO&WHT CHD MF ML|SECJJ+|5798|Jalpno&Wht Chd Mf Ml|SECJJ+
5492|JALPNO&WHT CHED BISC|BECBJJ|5856|Jalpno&Wht Ched Bisc|BECBJJ
5493|JALPNO&WHT CHD BI ML|BECJJ+|5858|Jalpno&Wht Chd Bi Ml|BECJJ+
5579|CRINKLE CUT PICKLES|CrPic|7341|Crinkle Cut Pickles|CrPic
5584|NATL. WHITE CHEDDAR|WhtChd|7329|Natl. White Cheddar|WhtChd
5585|NATL. PEPPER JCK CHS|Prjkch|7330|Natl. Pepper Jck Chs|Prjkch
5588|FRESH SLICED TOMATO|SlcTom|7343|Fresh Sliced Tomato|SlcTom
5589|SPICY MAYONNAISE|SpMayo|7336|Spicy Mayonnaise|SpMayo
5622|C RASPBRY ICED TEA|C Rtea|4878|C Raspbry Iced Tea|C Rtea
5623|S RASPBRY ICED TEA|S Rtea|4879|S Raspbry Iced Tea|S Rtea
5624|M RASPBRY ICED TEA|M Rtea|4880|M Raspbry Iced Tea|M Rtea
5625|L RASPBRY ICED TEA|L Rtea|4881|L Raspbry Iced Tea|L Rtea
5636|SWEET  BBQ|SwtBBQ|7337|Sweet  BBQ|SwtBBQ
5662|MAC SPECIAL SAUCE|McSpSc|7334|Mac Special Sauce|McSpSc
5668|SNK TWIX MCFLURRY|SnkTwx|5698|Snk Twix McFlurry|SnkTwx
5670|RASPBERRY PASTRY|RasP|5915|Raspberry Pastry|RasP
5671|CINN CRM CHS PASTRY|CCCP|5917|Cinn Crm Chs Pastry|CCCP
5675|2 RASPBERRY BUNDLE|2RasP+|5929|2 Raspberry Bundle|2RasP+
5676|2 CINNCRM CHS BUNDLE|2CCCP+|5930|2 CinnCrm Chs Bundle|2CCCP+
5677|RSP&CINCRMCHS BUNDLE|RspCC+|5931|Rsp&CinCrmChs Bundle|RspCC+
5683|CANADIAN BACON|Canbac|7404|Canadian Bacon|Canbac
5777|S RSPBERRY SWEET TEA|S RSwt|5932|S Rspberry Sweet Tea|S RSwt
5778|M RSPBERRY SWEET TEA|M RSwt|5933|M Rspberry Sweet Tea|M RSwt
5779|L RSPBERRY SWEET TEA|L RSwt|5934|L Rspberry Sweet Tea|L RSwt
5782|S DIET SWEET TEA|S DtSw|5935|S Diet Sweet Tea|S DtSw
5783|M DIET SWEET TEA|M DtSw|5936|M Diet Sweet Tea|M DtSw
5784|L DIET SWEET TEA|L DtSw|5937|L Diet Sweet Tea|L DtSw
5786|BBQRCH BURGER ML-SML|S Bbq|5887|BBQRch Burger Ml-Sml|S Bbq
5788|BBQRCH BURGER MEAL|M Bbq|5890|BBQRch Burger Meal|M Bbq
5789|BBQRCH BURGER ML-LRG|L Bbq|5893|BBQRch Burger Ml-Lrg|L Bbq
5894|QUARTER MUSHRM SWISS|QPMSHR|6034|Quarter Mushrm Swiss|QPMSHR
5895|QTR MUSHROOM MEAL|M QPMS|6057|Qtr Mushroom Meal|M QPMS
5910|PUMPKIN PIE|Pm Pie|5911|Pumpkin Pie|Pm Pie
5910|PUMPKIN PIE|Pm Pie|7031|Pumpkin Pie|Pm Pie
5912|QTR MUSHROOM ML-LRG|L QPMS|6058|Qtr Mushroom Ml-Lrg|L QPMS
5918|STK EGG CH BAGEL|Stk Bg|6918|Stk Egg Ch Bagel|Stk Bg
5923|STK EGG CH BAGEL ML|Stkbg+|6923|Stk Egg Ch Bagel Ml|Stkbg+
5926|FILET-O-FISH|Fof|6926|Filet-O-Fish|Fof
5926|FILET-O-FISH|Fof|8554|Filet-O-Fish*|Fof
5938|TWIX MCFLURRY|Twix|5957|Twix McFlurry|Twix
5944|2 FILET-O-FISH|2 Fof|6944|2 Filet-O-Fish|2 Fof
5963|MCSKLT BURRITO STK|Stk Sk|6589|McSklt Burrito Stk|Stk Sk
5964|MCSKLT BURRITO SAU|Sau Sk|6709|McSklt Burrito Sau|Sau Sk
5973|S IC SF  COFFEE|S ISCf|5987|S IC SF  Coffee|S ISCf
5974|M IC SF COFFEE|M ISCf|5988|M IC SF Coffee|M ISCf
5976|MCSKL BURRITO STK ML|Stksk+|6587|McSkl Burrito Stk Ml|Stksk+
5977|MCSKL BURRITO SAU ML|Sausk+|6710|McSkl Burrito Sau Ml|Sausk+
5979|L IC SF  COFFEE|L ISCf|5989|L IC SF  Coffee|L ISCf
5983|S ICE SFFRVN COFFEE|S Sivc|5990|S Ice SFFrVn Coffee|S Sivc
5984|L ICE SFFRVN COFFEE|M Sivc|5992|L Ice SFFrVn Coffee|M Sivc
5985|M ICE SFFRVN COFFEE|L Sivc|5993|M Ice SFFrVn Coffee|L Sivc
5986|VANILLA SHOT|Van Sh|5995|Vanilla Shot|Van Sh
6009|BIG N TASTY|BNT|6049|BIG N TASTY|BNT
6010|BACON CLUBHOUSE GRL|Clb Gr|6376|Bacon Clubhouse Grl|Clb Gr
6011|BACON CLBHS GRL MEAL|M ClbG|6378|Bacon Clbhs Grl Meal|M ClbG
6012|BCN CLBHS GRL ML-LRG|L ClbG|6379|Bcn Clbhs Grl Ml-Lrg|L ClbG
6013|BACON CLUBHOUSE CPY|Clb Cp|6380|Bacon Clubhouse Cpy|Clb Cp
6014|BACON CLBHS CPY MEAL|M CLBC|6381|Bacon Clbhs Cpy Meal|M CLBC
6020|BACON 3 PIECES|3h Bcn|6977|Bacon 3 Pieces|3h Bcn
6022|BACON CHEESE ML-LRG|L Bchb|3345|Bacon Cheese Ml-Lrg|L Bchb
6030|BCN CLBHS CPY ML-LRG|L CLBC|6382|Bcn Clbhs Cpy Ml-Lrg|L CLBC
6037|2 BIG MAC ML-LRG|L 2mac|6039|2 Big Mac Ml-Lrg|L 2mac
6050|S FRENCH FRIES|S Fry|6550|S French Fries|S Fry
6050|S FRENCH FRIES|S Fry|9901|S French Fries|S Fry
6053|L FRENCH FRIES|L Fry|6553|L French Fries|L Fry
6061|C RSPBERRY SWEET TEA|C RSwt|6190|C Rspberry Sweet Tea|C RSwt
6062|C DIET SWEET TEA|C DtSw|6196|C Diet Sweet Tea|C DtSw
6071|LOCAL DELUXE PLATTER|Lcdxpl|7980|Local Deluxe Platter|Lcdxpl
6105|10 MTY WINGS ML-LRG|L 10mw|6106|10 Mty Wings Ml-Lrg|L 10mw
6110|SAUSAGE MCGRIDDLE|Sau Gd|7883|Sausage McGriddle|Sau Gd
6113|5 MTY WINGS ML-LRG|L 5mw|6118|5 Mty Wings Ml-Lrg|L 5mw
6116|SAUSAGE MCGRDL ML|Saugd+|7884|Sausage McGrdl Ml|Saugd+
6117|2 MC GRIDDLES|2 Grdl|9910|2 Mc Griddles|2 Grdl
6120|HM/FRY/AP HPY ML TOY|Ham Fa|6682|Hm/Fry/Ap Hpy Ml Toy|Ham Fa
6123|6 MCNUGGETS ML-LRG|L 6ng|6787|6 McNuggets Ml-Lrg|L 6ng
6129|CB/FRY/AP HPY ML TOY|Chb Fa|6684|Cb/Fry/Ap Hpy Ml Toy|Chb Fa
6145|4N/FRY/AP HPY ML TOY|4ng Fa|6685|4N/Fry/Ap Hpy Ml Toy|4ng Fa
6159|6N/SF/AP MTY KID TOY|6ng Fa|6770|6N/SF/Ap Mty Kid Toy|6ng Fa
6162|5 MTY WINGS ML-SLD|Sd 5mw|6164|5 Mty Wings Ml-Sld|Sd 5mw
6163|BACON DBL CH ML-LRG|L Bdbl|8787|Bacon Dbl Ch Ml-Lrg|L Bdbl
6173|BIG MAC ML-LRG|L Mac|4154|Big Mac Ml-Lrg|L Mac
6180|10 MTY WINGS ML-SLD|Sd10mw|6182|10 Mty Wings Ml-Sld|Sd10mw
6181|2 CHSBURGER ML-SML|S 2chb|4149|2 Chsburger Ml-Sml|S 2chb
6183|2 CHSBURGER ML-LRG|L 2chb|4151|2 Chsburger Ml-Lrg|L 2chb
6186|MD/SF/AP MTY KID TOY|Mcd Fa|6781|Md/SF/Ap Mty Kid Toy|Mcd Fa
6202|DBL GR ON CHD ML-SLD|SdDgoc|6205|Dbl Gr On Chd Ml-Sld|SdDgoc
6211|3 MTY WINGS ML-SLD|Sd 3mw|6216|3 Mty Wings Ml-Sld|Sd 3mw
6233|DBL QTR CH ML-LRG|L Dqpc|6784|Dbl Qtr Ch Ml-Lrg|L Dqpc
6243|DBL CHEESE ML-LRG|L Dbl|6543|Dbl Cheese Ml-Lrg|L Dbl
6253|FILET-O-FISH ML-LRG|L Fof|6778|Filet-O-Fish Ml-Lrg|L Fof
6265||Scramb|8584|Scrambled Egg|Scramb
6281|CRANBERY ORNG MUFFIN|Crn Mf|6308|Cranbery Orng Muffin|Crn Mf
6282|BERRY BRAN MUFFIN|B&B Mf|6320|Berry Bran Muffin|B&B Mf
6283|DOUBLE CHOC MUFFIN|DblCh|6325|Double Choc Muffin|DblCh
6300|FILET-O-FISH & L FRY|Fof&Lf|6302|Filet-O-Fish & L Fry|Fof&Lf
6303|20 MCNUGGETS ML-LRG|L 20ng|8741|20 McNuggets Ml-Lrg|L 20ng
6309|DBL FILET ML-LRG|L Dfof|5813|Dbl Filet Ml-Lrg|L Dfof
6323|QTR CHEESE ML-LRG|L Qpc|6776|Qtr Cheese Ml-Lrg|L Qpc
6366|HOT&SPCY MCKN ML-LRG|L Hsmc|8738|Hot&Spcy Mckn Ml-Lrg|L Hsmc
6388|BCN CLBHS GRL ML-SLD|BCHGSD|6389|Bcn Clbhs Grl Ml-Sld|BCHGSD
6396|BCN CLBHS CPY ML-SLD|BCHCSD|6403|Bcn Clbhs Cpy Ml-Sld|BCHCSD
6397|BCN CLBHS QTR ML-SLD|BCHQSD|6405|Bcn Clbhs Qtr Ml-Sld|BCHQSD
6408|JALAPENO DOUBLE|JalDbl|7138|Jalapeno Double|JalDbl
6408|JALAPENO DOUBLE|JalDbl|7253|Jalapeno Double|JalDbl
6414|JALAPENO DOUBLE MEAL|M JaDb|7139|Jalapeno Double Meal|M JaDb
6419|JALA DOUBLE ML-LRG|L JaDb|7140|Jala Double Ml-Lrg|L JaDb
6432|CLUBHOUSE NO BAC QTR|Clbhse|6582|Clubhouse No Bac Qtr|Clbhse
6467|CLBHS NOBAC QTR MEAL|M Clbh|6598|Clbhs NoBac Qtr Meal|M Clbh
6512|CLBH NOBC QTR ML-LRG|L Clbh|6600|Clbh NoBc Qtr Ml-Lrg|L Clbh
6524|CLUBHOUSE NO BAC GRL|Clb Gr|6580|Clubhouse No Bac Grl|Clb Gr
6525|CLBHS NOBAC GRL MEAL|M ClbG|6603|Clbhs NoBac Grl Meal|M ClbG
6526|CLBH NOBC GRL ML-LRG|L ClbG|6604|Clbh NoBc Grl Ml-Lrg|L ClbG
6527|CLUBHOUSE NO BAC CPY|Clb Cp|6579|Clubhouse No Bac Cpy|Clb Cp
6542|CLBHS NOBAC CPY MEAL|M ClbC|6605|Clbhs NoBac Cpy Meal|M ClbC
6544|CLBH NOBC CPY ML-LRG|L ClbC|6607|Clbh NoBc Cpy Ml-Lrg|L ClbC
6575|BAG OF ICE|Icebag|6715|Bag of Ice|Icebag
6633|DAILY DOUBLE ML-LRG|L Dlyd|6641|Daily Double Ml-Lrg|L Dlyd
6652|GUACAMOLE BURGER|GuacQt|6656|Guacamole Burger|GuacQt
6653|GUACAMOLE QTR MEAL|M GuQt|6657|Guacamole Qtr Meal|M GuQt
6654|GUACAMOLE QTR ML-LRG|L GuQt|6658|Guacamole Qtr Ml-Lrg|L GuQt
6661|TORTILLA STRIPS|T Strp|7340|Tortilla Strips|T Strp
6702|COUNTRY BRKFST/STEAK|CtBfSt|6734|Country Brkfst/Steak|CtBfSt
6864|XLG SPRITE ZERO|X SP 0|7115|XLG SPRITE ZERO|X SP 0
6870|SNR RSPBRY SWEET TEA|SrRSwT|6884|Snr Rspbry Sweet Tea|SrRSwT
6879|SNR DIET SWEET TEA|SrdSwT|6885|Snr Diet Sweet Tea|SrdSwT
6893|MCCHICKEN ML-LRG|L Mcc|9535|McChicken Ml-Lrg|L Mcc
6895|MCCHICKEN ML-SML|S Mcc|2269|McChicken Ml-Sml|S Mcc
6897|L STWBY UNSWEET TEA|L UStw|7152|L Stwby Unsweet Tea|L UStw
6904|L SWEET STRWBRYTEA|L SStw|7156|L Sweet StrwbryTea|L SStw
6975|HAPPY MEAL HAMBURGER|Ham Fa|7011|Happy Meal Hamburger|Ham Fa
7001|HAPPY MEAL CH BURGER|Chb Fa|7012|Happy Meal Ch Burger|Chb Fa
7002|HAPPY MEAL 4 PIECE|4ng Fa|7013|Happy Meal 4 Piece|4ng Fa
7003|HPY ML RNCH WRAP GRL|Rng Hm|7014|Hpy ML Rnch Wrap Grl|Rng Hm
7004|HPY ML RNCH WRAP CPY|Rnc Hm|7017|Hpy ML Rnch Wrap Cpy|Rnc Hm
7005|HPY ML HNYM WRAP GRL|Hog Hm|7019|Hpy ML HnyM Wrap Grl|Hog Hm
7006|HPY ML HNYM WRAP CPY|Hoc Hm|7131|Hpy ML HnyM Wrap Cpy|Hoc Hm
7007|HPY ML BBQ WRAP GRL|Bqg Hm|7223|Hpy ML BBQ Wrap Grl|Bqg Hm
7008|HPY ML BBQ WRAP CPY|Bqc Hm|7703|Hpy ML BBQ Wrap Cpy|Bqc Hm
7009|MIGHTY MEAL 6 PIECE|6ng Fa|7706|Mighty Meal 6 Piece|6ng Fa
7010|MIGHTY MEAL MCDOUBLE|Mcd Fa|7728|Mighty Meal McDouble|Mcd Fa
7103|S WHITE CHOC LATTE|SWCLat|7826|S White Choc Latte|SWCLat
7104|M WHITE CHOC LATTE|MWCLat|7827|M White Choc Latte|MWCLat
7105|L WHITE CHOC LATTE|LWCLat|7828|L White Choc Latte|LWCLat
7107|S NF WHT CHOC LATTE|SWCNLt|7829|S NF Wht Choc Latte|SWCNLt
7108|M NF WHT CHOC LATTE|MWCNLt|7830|M NF Wht Choc Latte|MWCNLt
7109|L NF WHT CHOC LATTE|LWCNLt|7831|L NF Wht Choc Latte|LWCNLt
7110|S WHT CHOC HOT CHOC|S WCHC|7833|S Wht Choc Hot Choc|S WCHC
7111|M WHT CHOC HOT CHOC|M WCHC|7835|M Wht Choc Hot Choc|M WCHC
7112|L WHT CHOC HOT CHOC|L WCHC|7836|L Wht Choc Hot Choc|L WCHC
7113|S NF WHTCHOC HOTCHOC|SNWCHC|7838|S NF WhtChoc HotChoc|SNWCHC
7114|M NF WHTCHOC HOTCHOC|MNWCHC|7840|M NF WhtChoc HotChoc|MNWCHC
7116|L NF WHTCHOC HOTCHOC|LNWCHC|7845|L NF WhtChoc HotChoc|LNWCHC
7117|S IC WHITECHOC MOCHA|SIWCMo|7849|S IC WhiteChoc Mocha|SIWCMo
7118|M IC WHITECHOC MOCHA|MIWCMo|7850|M IC WhiteChoc Mocha|MIWCMo
7119|L IC WHITECHOC MOCHA|LIWCMo|7854|L IC WhiteChoc Mocha|LIWCMo
7120|S IC WHT CHOC NF MOC|SIWCNM|7855|S IC Wht Choc NF Moc|SIWCNM
7121|M IC WHT CHOC NF MOC|MIWCNM|7858|M IC Wht Choc NF Moc|MIWCNM
7122|L IC WHT CHOC NF MOC|LIWCNM|7877|L IC Wht Choc NF Moc|LIWCNM
7123|S IC PUMPKIN LATTE|SIPLt|7905|S IC Pumpkin Latte|SIPLt
7124|M IC PUMPKIN LATTE|MIPLt|7906|M IC Pumpkin Latte|MIPLt
7125|L IC PUMPKIN LATTE|LIPLt|7907|L IC Pumpkin Latte|LIPLt
7126|S IC PKN NF LATTE|SIPNL|7908|S IC Pkn NF Latte|SIPNL
7127|M IC PKN NF LATTE|MIPNL|7910|M IC Pkn NF Latte|MIPNL
7128|L IC PKN NF LATTE|LIPNL|7911|L IC Pkn NF Latte|LIPNL
7129|S IC WHT CHOC LATTE|SIWCLt|7878|S IC Wht Choc Latte|SIWCLt
7130|M IC WHT CHOC LATTE|MIWCLt|7879|M IC Wht Choc Latte|MIWCLt
7132|L IC WHT CHOC LATTE|LIWCLt|7881|L IC Wht Choc Latte|LIWCLt
7133|S IC WHT CHOC NF LAT|SIWCNL|7892|S IC Wht Choc NF Lat|SIWCNL
7134|M IC WHT CHOC NF LAT|MIWCNL|7893|M IC Wht Choc NF Lat|MIWCNL
7135|L IC WHT CHOC NF LAT|LIWCNL|7897|L IC Wht Choc NF Lat|LIWCNL
7141|L PEACH UNSWEET TEA|L UPch|7153|L Peach Unsweet Tea|L UPch
7142|L PEACH SWEET TEA|L SPch|7150|L Peach Sweet Tea|L SPch
7204|ANGUS BACON&CHEESE|Ang Bc|7224|Angus Bacon&Cheese|Ang Bc
7205|ANGUS BACN&CHS MEAL|M Agbc|7227|Angus Bacn&Chs Meal|M Agbc
7206|ANGUS BCN&CHS ML-LRG|L Agbc|7228|Angus Bcn&Chs Ml-Lrg|L Agbc
7207|ANGUS DELUXE|Ang Dx|7225|Angus Deluxe|Ang Dx
7208|ANGUS DELUXE MEAL|M Agdx|7229|Angus Deluxe Meal|M Agdx
7209|ANGUS DELUXE ML-LRG|L Agdx|7230|Angus Deluxe Ml-Lrg|L Agdx
7210|ANGUS MSHRM&SWISS|Ang Ms|7226|Angus Mshrm&Swiss|Ang Ms
7211|ANGUS MSHR&SWIS MEAL|M Agms|7231|Angus Mshr&Swis Meal|M Agms
7212|ANGUS MSHR&SW ML-LRG|L Agms|7232|Angus Mshr&Sw Ml-Lrg|L Agms
7400|APPLE DIPPERS|Apl Dp|7450|Apple Dippers|Apl Dp
7421|DAILY DOUBLE MEAL|M Dlyd|7440|Daily Double Meal|M Dlyd
7428|3 CKN SEL TNDR MEAL|M 3cs|2296|3 Ckn Sel Tndr Meal|M 3cs
7429|5 CKN SLCTS MEAL|M 5cs|2297|5 Ckn Slcts Meal|M 5cs
7437|BACN DBL CHEESE MEAL|M Bdbl|7438|Bacn Dbl Cheese Meal|M Bdbl
7464|5 MTY WINGS MEAL|M 5mw|7478|5 Mty Wings Meal|M 5mw
7465|10 MTY WINGS MEAL|M 10mw|7470|10 Mty Wings Meal|M 10mw
7482|2 BIG MAC MEAL|M 2mac|7492|2 Big Mac Meal|M 2mac
7498|FRUIT & WALNUT SALAD|F&WSLD|7502|FRUIT & WALNUT SALAD|F&WSLD
7503|DBL/FRY MTY KID TOY|DBL FR|7717|DBL/FRY MTY KID TOY|DBL FR
7504|DBLHFRY MTY KID TOY|DBLHFR|7718|DBLHFRY MTY KID TOY|DBLHFR
7505|6NUG/FRY MTY KID TOY|6NG FR|7719|6NUG/FRY MTY KID TOY|6NG FR
7522|MCCHICKEN BISCUIT ML|Cknbi+|7962|McChicken Biscuit Ml|Cknbi+
7527|SAUS CHEESE BISC ML|Sacbi+|1413|Saus Cheese Bisc Ml|Sacbi+
7567|S ICED LATTE|S Ilat|7573|S Iced Latte|S Ilat
7601|COUNTRY BREAKFAST|Cty Bf|7699|Country Breakfast|Cty Bf
7601|COUNTRY BREAKFAST|Cty Bf|8724|Country Breakfast|CTY BF
7606|M ICED LATTE|M Ilat|7628|M Iced Latte|M Ilat
7622|L ICED LATTE|L Ilat|7629|L Iced Latte|L Ilat
7630|S ICED N-FAT LATTE|S Inlt|7635|S Iced N-Fat Latte|S Inlt
7640|M ICED N-FAT LATTE|M Inlt|7646|M Iced N-Fat Latte|M Inlt
7643|L ICED N-FAT LATTE|L Inlt|7648|L Iced N-Fat Latte|L Inlt
7653|S ICED MOCHA|S Imoc|7662|S Iced Mocha|S Imoc
7659|M ICED MOCHA|M Imoc|7664|M Iced Mocha|M Imoc
7661|L ICED MOCHA|L Imoc|7665|L Iced Mocha|L Imoc
7674|S ICED N-FAT MOCHA|S Inmc|7681|S Iced N-Fat Mocha|S Inmc
7675|M ICED N-FAT MOCHA|M Inmc|7694|M Iced N-Fat Mocha|M Inmc
7676|L ICED N-FAT MOCHA|L Inmc|7698|L Iced N-Fat Mocha|L Inmc
7747|HAMB/AD HPY ML TOY|HAM AD|7752|HAMB/AD HPY ML TOY|HAM AD
7747|HAMB/AD HPY ML TOY|HAM AD|7762|HAMB/AD HPY ML TOY*|HAMAD*
7748|CHB/AD HPY ML TOY|CHB AD|7763|CHB/AD HPY ML TOY*|CHBAD*
7748|CHB/AD HPY ML TOY|CHB AD|7772|CHB/AD HPY ML TOY|CHB AD
7749|4NUG/AD HPY ML TOY|4NG AD|7764|4NUG/AD HPY ML TOY*|4NGAD*
7749|4NUG/AD HPY ML TOY|4NG AD|7773|4NUG/AD HPY ML TOY|4NG AD
7783|DBLH/AD MTY KID TOY|DBLHAD|7799|DBLH/AD MTY KID TOY|DBLHAD
7785|DBL/AD MTY KID TOY|DBL AD|7798|DBL/AD MTY KID TOY|DBL AD
7787|6NUG/AD MTY KID TOY|6NG AD|7797|6NUG/AD MTY KID TOY|6NG AD
7886|C FRUITOPIA|C Frtp|6508|C Fruitopia|C Frtp
7887|S FRUITOPIA|S Frtp|4486|S Fruitopia|S Frtp
7888|M FRUITOPIA|M Frtp|9278|M Fruitopia|M Frtp
7889|L FRUITOPIA|L Frtp|9200|L Fruitopia|L Frtp
7890|XLG FRUITOPIA|X FRTP|4699|XLG FRUITOPIA|X FRTP
8006|HAPPY TOY NO FOOD|Hpy Nf|8490|TOY-ALA CARTE KIOSK OVER 3|C OVR3
8100|I|Vanila|8101|I|Sf/Van
8100|I|Vanila|8102|I|Carmel
8100|I|Vanila|8103|I|Hzlnut
8100|I|Vanila|8104|I|Plain
8100|I|Vanila|8105|I|Mocha
8100|I|Vanila|8107|I|Mint
8100|I|Vanila|8110|I|Choc
8488|STEPOMETER|STEPMR|8489|STEP O METER B|STEPMB
8660|SPAM RICE & EGG|Sprceg|9573|Spam Rice & Egg|Sprceg
8666|TRPL CHEESE ML-LRG|L Trpl|9361|Trpl Cheese Ml-Lrg|L Trpl
8759|SIDE SALAD|Sd Sld|9896|Side Salad|Sd Sld
8759|SIDE SALAD|Sd Sld|9900|Side Salad|Sd Sld
8763|GRL CKN CAESAR SALAD|Caegrl|9897|Grl Ckn Caesar Salad|Caegrl
8777|CAESAR SALAD|Caesld|9902|Caesar Salad|Caesld
8792|DIPPED CONE|Dp Cn|8822|Dipped Cone|Dp Cn
8792|DIPPED CONE|Dp Cn|8827|Dipped Cone|Dp Cn
8911|DELUXE BREAKFAST|Dlx Mf|8726|Deluxe Breakfast|DLX M
8911|DELUXE BREAKFAST|Dlx Mf|8912|Deluxe Breakfast|Dlx Mf
8932|M FRENCH FRIES|M Fry|9891|M French Fries|M Fry
8932|M FRENCH FRIES|M Fry|9899|M French Fries|M Fry
8933|UPCHARGE LARGE FRIES|Lg-Up|9542|Upcharge Large Fries|Lg-Up
8934|BIG N TASTY MEAL|M BNT|9398|BIG N TASTY MEAL|M BNT
8935|BIGNTASTY CH MEAL|M BNTC|9399|BIGNTASTY CH MEAL|M BNTC
8936|BIG MAC MEAL|M Mac|9385|Big Mac Meal|M Mac
8938|DBL CHEESE MEAL|M Dbl|1949|Dbl Cheese Meal|M Dbl
8939|DBL QTR CH MEAL|M Dqpc|9388|Dbl Qtr Ch Meal|M Dqpc
8941|QTR CHEESE MEAL|M Qpc|9387|Qtr Cheese Meal|M Qpc
8944|FILET-O-FISH MEAL|M Fof|7460|Filet-O-Fish Meal|M Fof
8945|6 MCNUGGETS MEAL|M 6ng|9389|6 McNuggets Meal|M 6ng
8946|10 MCNUGGETS MEAL|M 10ng|1997|10 McNuggets Meal|M 10ng
8947|MCCHICKEN MEAL|M Mcc|1951|McChicken Meal|M Mcc
8948|HOT&SPICY MCCKN MEAL|M Hsmc|2178|Hot&Spicy McCkn Meal|M Hsmc
8949|2 HAMBURGER MEAL|M 2ham|1882|2 Hamburger Meal|M 2ham
8950|2 CHSBURGER MEAL|M 2chb|9386|2 Chsburger Meal|M 2chb
8952|GRL CKN BACRAN SALAD|Rangrl|9904|Grl Ckn BacRan Salad|Rangrl
8954|TRPL CHEESE MEAL|M Trpl|6817|Trpl Cheese Meal|M Trpl
8956|20 MCNUGGETS MEAL|M 20ng|2179|20 McNuggets Meal|M 20ng
8957|BACON RANCH SALAD|Ransld|9905|Bacon Ranch Salad|Ransld
8971|MCRIB MEAL|M Rib|2365|McRib Meal|M Rib
8992|DBL FILET MEAL|M Dfof|5810|Dbl Filet Meal|M Dfof
